Region,appletini
Washington,100
District of Columbia,95
Minnesota,91
Pennsylvania,86
New Jersey,86
Utah,83
Wisconsin,83
Oklahoma,79
Ohio,78
Massachusetts,77
Florida,76
Maryland,70
Arizona,68
Connecticut,68
Kentucky,67
Missouri,67
Oregon,66
Illinois,66
Michigan,64
New York,63
Tennessee,62
Colorado,62
California,62
Georgia,60
Alabama,54
Virginia,53
Nevada,53
Texas,50
North Carolina,49
South Carolina,47
Iowa,46
Louisiana,38
Indiana,36
New Hampshire,
Maine,
Delaware,
Vermont,
Alaska,
Nebraska,
Rhode Island,
New Mexico,
Idaho,
Arkansas,
North Dakota,
Hawaii,
Mississippi,
Montana,
West Virginia,
Kansas,
South Dakota,
Wyoming,
South Dakota,
Wyoming,