Region,blue h
Hawaii,100
Nevada,8
New Hampshire,8
Maine,7
Washington,6
Oregon,6
Idaho,5
Missouri,5
Mississippi,5
Tennessee,5
Alabama,5
Louisiana,5
Arizona,5
Texas,5
South Carolina,5
Nebraska,5
Massachusetts,5
California,4
Florida,4
New Mexico,4
Rhode Island,4
Kansas,4
Arkansas,4
Utah,4
North Carolina,4
Michigan,4
Kentucky,4
Connecticut,4
Oklahoma,4
Iowa,4
Wisconsin,4
Pennsylvania,4
Maryland,4
Colorado,4
New Jersey,4
Virginia,4
Indiana,4
West Virginia,4
Delaware,4
Minnesota,3
Georgia,3
Ohio,3
Illinois,3
New York,3
District of Columbia,3
Alaska,
Vermont,
Montana,
North Dakota,
South Dakota,
Wyoming,
South Dakota,
Wyoming,