Region,cosmo
Nevada,100
Rhode Island,11
District of Columbia,10
California,8
Hawaii,7
Massachusetts,7
Arizona,6
Utah,6
New Mexico,6
Colorado,5
Washington,5
New York,5
Oregon,5
Illinois,5
Montana,5
Alaska,5
Minnesota,5
New Jersey,5
New Hampshire,5
Texas,5
Nebraska,5
Connecticut,4
Oklahoma,4
Florida,4
Virginia,4
Georgia,4
Wisconsin,4
Maryland,4
Wyoming,4
Delaware,4
Indiana,4
Maine,4
North Dakota,4
South Carolina,4
Idaho,4
Michigan,4
Missouri,4
Kansas,4
Pennsylvania,4
Louisiana,4
Iowa,3
Ohio,3
Arkansas,3
South Dakota,3
Vermont,3
Tennessee,3
Alabama,3
North Carolina,3
Kentucky,3
Mississippi,3
West Virginia,3
Mississippi,3
West Virginia,3