From,To Arizona,To Phoenix,To Tucson
Alabama,1545,833,449
Alaska,2216,1102,219
Arizona,,,
Arkansas,1155,432,240
California,62859,38845,7910
Colorado,13040,8089,2458
Connecticut,1348,793,462
Delaware,668,442,210
District of Columbia,207,104,54
Florida,8004,5183,1566
Georgia,3825,2292,764
Hawaii,2444,1602,390
Idaho,2596,1144,315
 Illinois ,12154,9414,1325
Indiana,4061,2820,652
Iowa,2810,2270,347
Kansas,3578,2464,359
Kentucky,1754,1047,496
Louisiana,1622,1130,291
Maine,416,319,56
Maryland,2303,1994,144
Massachusetts,2452,1645,682
Michigan,6862,4877,968
Minnesota,6978,5398,765
Mississippi,842,521,83
Missouri,3892,2802,592
Montana,2114,1144,301
Nebraska,1527,980,399
Nevada,6904,3319,969
New Hampshire,447,179,243
New Jersey,3532,2749,506
New Mexico,8193,5169,793
New York,5220,3674,755
North Carolina,5225,3758,396
North Dakota,1757,1223,82
Ohio,5695,4166,544
Oklahoma,4127,2309,658
Oregon,9895,6538,1358
Pennsylvania,4302,2998,568
Rhode Island,167,133,34
South Carolina,1565,853,82
South Dakota,1401,884,272
Tennessee,1895,1491,73
Texas,15531,9574,2427
Utah,9029,5451,472
Vermont,329,116,213
Virginia,4867,2893,1329
Washington,16331,10026,2644
West Virginia,492,236,240
Wisconsin,5039,3697,770
Wyoming,1433,700,12