Week,mango marg
8/14/22,28
8/21/22,25
8/28/22,33
9/4/22,32
9/11/22,19
9/18/22,24
9/25/22,24
10/2/22,16
10/9/22,22
10/16/22,29
10/23/22,25
10/30/22,15
11/6/22,11
11/13/22,20
11/20/22,32
11/27/22,13
12/4/22,16
12/11/22,24
12/18/22,26
12/25/22,35
1/1/23,18
1/8/23,25
1/15/23,20
1/22/23,21
1/29/23,18
2/5/23,23
2/12/23,34
2/19/23,31
2/26/23,31
3/5/23,23
3/12/23,29
3/19/23,35
3/26/23,31
4/2/23,27
4/9/23,30
4/16/23,35
4/23/23,35
4/30/23,100
5/7/23,45
5/14/23,41
5/21/23,44
5/28/23,52
6/4/23,44
6/11/23,55
6/18/23,55
6/25/23,47
7/2/23,70
7/9/23,41
7/16/23,53
7/23/23,42
7/30/23,27
7/23/23,42
7/30/23,27