Region,mimosa
Nevada,100
District of Columbia,84
Colorado,76
California,74
Illinois,73
Georgia,73
Florida,72
South Carolina,71
Louisiana,68
Delaware,66
Texas,65
Rhode Island,64
New Mexico,63
Mississippi,63
Tennessee,63
Wisconsin,61
North Carolina,60
Hawaii,60
Missouri,59
Alabama,58
Virginia,58
Arizona,56
South Dakota,56
Maryland,56
Nebraska,55
Oklahoma,55
Michigan,55
Kansas,53
Oregon,52
Connecticut,52
Arkansas,52
Pennsylvania,52
Maine,51
North Dakota,51
Idaho,50
Indiana,49
Ohio,49
New Hampshire,49
Minnesota,48
Kentucky,48
Washington,47
Vermont,46
Iowa,46
Massachusetts,45
New Jersey,45
New York,45
Montana,44
Wyoming,44
West Virginia,43
Utah,42
Alaska,38
Utah,42
Alaska,38