Region,bellini
Rhode Island,100
District of Columbia,61
New York,53
New Jersey,52
Connecticut,51
Massachusetts,51
Florida,48
Nevada,45
New Hampshire,45
Maryland,43
Delaware,42
Maine,39
Pennsylvania,39
Colorado,38
South Carolina,37
Georgia,37
Louisiana,36
Arkansas,36
Vermont,35
Oklahoma,35
Illinois,34
Washington,34
Virginia,33
Arizona,33
Tennessee,33
Missouri,33
North Carolina,32
Oregon,31
Alaska,31
California,30
Michigan,30
Texas,30
New Mexico,29
Ohio,28
Minnesota,28
Alabama,28
Iowa,27
Wisconsin,27
Kansas,27
Idaho,27
North Dakota,26
Nebraska,26
Indiana,26
Mississippi,26
Kentucky,24
West Virginia,24
Hawaii,21
South Dakota,20
Utah,19
Montana,16
Wyoming,
Montana,16
Wyoming,