Week,bellini
8/14/22,80
8/21/22,95
8/28/22,68
9/4/22,74
9/11/22,69
9/18/22,57
9/25/22,64
10/2/22,55
10/9/22,69
10/16/22,61
10/23/22,52
10/30/22,54
11/6/22,60
11/13/22,59
11/20/22,96
11/27/22,58
12/4/22,58
12/11/22,73
12/18/22,97
12/25/22,100
1/1/23,67
1/8/23,63
1/15/23,65
1/22/23,62
1/29/23,58
2/5/23,59
2/12/23,84
2/19/23,70
2/26/23,59
3/5/23,66
3/12/23,64
3/19/23,71
3/26/23,72
4/2/23,81
4/9/23,75
4/16/23,69
4/23/23,71
4/30/23,69
5/7/23,92
5/14/23,94
5/21/23,70
5/28/23,74
6/4/23,81
6/11/23,74
6/18/23,78
6/25/23,85
7/2/23,96
7/9/23,81
7/16/23,74
7/23/23,75
7/30/23,73
7/23/23,75
7/30/23,73