Region,pina
Hawaii,100
Florida,53
Utah,41
New Mexico,41
New Hampshire,40
South Carolina,39
Connecticut,39
West Virginia,39
Vermont,38
Rhode Island,38
Idaho,37
Nevada,37
Arizona,37
New Jersey,37
Texas,37
Maine,36
Massachusetts,36
Louisiana,36
Maryland,36
New York,36
Nebraska,36
Alaska,36
Kansas,35
Tennessee,35
Minnesota,35
Mississippi,35
Delaware,35
Colorado,34
Oklahoma,34
South Dakota,34
Alabama,34
Washington,33
Wisconsin,33
Indiana,33
Kentucky,33
District of Columbia,33
Oregon,33
North Carolina,32
Missouri,32
Montana,32
Michigan,32
Arkansas,32
Georgia,31
Pennsylvania,31
California,31
Virginia,31
Illinois,31
North Dakota,30
Ohio,29
Iowa,29
Wyoming,27
Iowa,29
Wyoming,27