Region,rose
District of Columbia,100
New York,66
New Jersey,61
Connecticut,61
Rhode Island,58
California,56
Florida,55
Illinois,54
Massachusetts,53
Delaware,51
Oregon,49
Maryland,49
Hawaii,48
Colorado,46
Washington,45
Nevada,44
South Carolina,44
Texas,44
Virginia,43
Vermont,43
New Hampshire,41
Arizona,40
Louisiana,39
Georgia,39
Maine,39
Minnesota,37
North Carolina,37
Tennessee,36
Montana,34
Pennsylvania,34
Wisconsin,34
New Mexico,33
Missouri,32
Nebraska,32
Alabama,32
Idaho,31
Kansas,31
Michigan,31
Mississippi,30
Wyoming,30
Arkansas,30
Ohio,29
Kentucky,29
Alaska,28
Oklahoma,28
Indiana,27
Utah,26
North Dakota,25
Iowa,24
South Dakota,24
West Virginia,17
South Dakota,24
West Virginia,17