Region,sea breeze
Maine,100
Hawaii,98
Nevada,94
Massachusetts,92
New Hampshire,88
Florida,82
Delaware,80
Rhode Island,74
Connecticut,71
South Carolina,62
Pennsylvania,61
New York,59
Oregon,57
New Jersey,56
Maryland,54
Louisiana,53
Washington,53
Georgia,52
Michigan,51
Tennessee,50
Kansas,49
Colorado,49
Minnesota,47
District of Columbia,47
Ohio,47
North Carolina,45
Arizona,45
Virginia,44
California,41
Missouri,39
Illinois,38
Indiana,38
Oklahoma,38
Kentucky,37
Wisconsin,34
Alabama,33
Texas,32
Nebraska,31
Mississippi,27
Utah,27
Arkansas,24
Iowa,22
South Dakota,
Vermont,
Montana,
Wyoming,
Idaho,
New Mexico,
North Dakota,
West Virginia,
Alaska,
West Virginia,
Alaska,