Week,sea breeze
8/14/22,54
8/21/22,68
8/28/22,53
9/4/22,61
9/11/22,46
9/18/22,56
9/25/22,47
10/2/22,35
10/9/22,36
10/16/22,30
10/23/22,39
10/30/22,48
11/6/22,40
11/13/22,42
11/20/22,48
11/27/22,30
12/4/22,58
12/11/22,44
12/18/22,50
12/25/22,100
1/1/23,50
1/8/23,41
1/15/23,49
1/22/23,52
1/29/23,46
2/5/23,52
2/12/23,49
2/19/23,48
2/26/23,51
3/5/23,49
3/12/23,54
3/19/23,52
3/26/23,39
4/2/23,47
4/9/23,45
4/16/23,50
4/23/23,44
4/30/23,40
5/7/23,44
5/14/23,40
5/21/23,58
5/28/23,65
6/4/23,61
6/11/23,61
6/18/23,62
6/25/23,57
7/2/23,74
7/9/23,49
7/16/23,49
7/23/23,65
7/30/23,57
7/23/23,65
7/30/23,57